"filename", "language", "XML", "Rust", "Shell Script", "TOML", "Properties", "comment", "blank", "total"
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/.idea/P2P-Based_Document_Sharing_System.iml", "XML", 15, 0, 0, 0, 0, 0, 0, 15
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/.idea/inspectionProfiles/Project_Default.xml", "XML", 16, 0, 0, 0, 0, 0, 0, 16
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/.idea/modules.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 8
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/.idea/vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/Cargo.lock", "TOML", 0, 0, 0, 4473, 0, 2, 485, 4960
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/Cargo.toml", "TOML", 0, 0, 0, 5, 0, 0, 1, 6
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/.idea/inspectionProfiles/Project_Default.xml", "XML", 15, 0, 0, 0, 0, 0, 0, 15
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/.idea/modules.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 8
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/.idea/p2p-desktop.iml", "XML", 10, 0, 0, 0, 0, 0, 0, 10
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/.idea/vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/.idea/workspace.xml", "XML", 124, 0, 0, 0, 0, 0, 0, 124
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/Cargo.toml", "TOML", 0, 0, 0, 13, 0, 6, 4, 23
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/run.sh", "Shell Script", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/src/assistance/connection.rs", "Rust", 0, 78, 0, 0, 0, 10, 1, 89
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/src/assistance/error.rs", "Rust", 0, 13, 0, 0, 0, 0, 3, 16
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/src/assistance/http.rs", "Rust", 0, 6, 0, 0, 0, 0, 1, 7
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/src/assistance/metadata.rs", "Rust", 0, 11, 0, 0, 0, 0, 1, 12
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/src/assistance/mod.rs", "Rust", 0, 4, 0, 0, 0, 0, 0, 4
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/src/components/home/file.rs", "Rust", 0, 56, 0, 0, 0, 28, 8, 92
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/src/components/home/mod.rs", "Rust", 0, 84, 0, 0, 0, 1, 5, 90
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/src/components/home/search.rs", "Rust", 0, 122, 0, 0, 0, 4, 10, 136
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/src/components/home/setting.rs", "Rust", 0, 52, 0, 0, 0, 3, 4, 59
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/src/components/home/upload.rs", "Rust", 0, 50, 0, 0, 0, 17, 3, 70
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/src/components/login.rs", "Rust", 0, 73, 0, 0, 0, 3, 4, 80
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/src/components/mod.rs", "Rust", 0, 4, 0, 0, 0, 0, 0, 4
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/src/components/page.rs", "Rust", 0, 12, 0, 0, 0, 0, 1, 13
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/src/components/register.rs", "Rust", 0, 86, 0, 0, 0, 1, 4, 91
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/src/main.rs", "Rust", 0, 790, 0, 0, 0, 55, 25, 870
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/src/user/mod.rs", "Rust", 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-desktop/src/user/user.rs", "Rust", 0, 12, 0, 0, 0, 0, 3, 15
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-server/.env", "Properties", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-server/.idea/inspectionProfiles/Project_Default.xml", "XML", 15, 0, 0, 0, 0, 0, 0, 15
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-server/.idea/modules.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 8
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-server/.idea/p2p-server.iml", "XML", 10, 0, 0, 0, 0, 0, 0, 10
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-server/.idea/vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
